,Lens ID_Train,Abstract_Train,index,Lens ID_Test,Abstract_Test,Dickson,Andy,Bill
23,115-384-194-385-151,"This paper looks at current trends in knowledge organization research, concentrating on universal systems, mapping vocabularies and interoperability concerns, problems of bias, the Internet and search engines, resource discovery, thesauri and visual presentation. Some problems facing researchers at the present time are discussed. It is accompanied by a bibliography of recent work in the field.",23,019-340-375-042-065,"This paper describes a survey of subject analysis research over the ten year period 1988 to 1998. Data are drawn from the research environment encompassing publications, conference papers, major bibiographic resources in the field of Library and Information Science and selective searches of the Internet. Findings reveal major and minor areas of research activity Trends and developments are identified and conclusions drawn. Strengths and weaknesses in the approaches taken to subject analysis research are discussed and suggestions for improvements are made with a view to future research directions.",,,
24,100-935-111-075-54X,"Knowledge Organization (KO) is about activities such as document description, indexing and classification performed in libraries, databases, archives etc. These activities are done by librarians, archivists, subject specialists as well as by computer algorithms. KO as a field of study is concerned with the nature and quality of such knowledge organizing processes (KOP) as well as the knowledge organizing systems (KOS) used to organize documents, document representations and concepts. There exist different historical and theoretical approaches to and theories about KO, which are related to different views of knowledge, cognition, language, and social organization. Each of these approaches tends to answer the question: ""What is knowledge organization?"" differently. LIS professionals have often concentrated on applying new technology and standards, and may not have seen their work as involving interpretation and analysis of meaning. That is why library classification has been criticized for a lack of substantive intellectual content. Traditional human-based activities are increasingly challenged by computer-based retrieval techniques. It is appropriate to investigate the relative contributions of different approaches; the current challenges make it imperative to reconsider this understanding. This paper offers an understanding of KO based on an explicit theory of knowledge.",24,036-751-873-254-266,"Governing the professional and intellectual potential is an interdisciplinary field of scientific research using a systematic process of developing innovation technologies for transforming individual knowledge and specialists' experience in such a way that would apply the knowledge and experience to the processes, services and products offered by an organization to reach its strategic goals. From the technological standpoint, governing the professional and intellectual potential represents modeling, forming, using and developing the corporate system of governing the professional and intellectual potential. We consider structuring knowledge using this model rather valuable during the stage of forming the governance system of professional and intellectual potential. Understanding, i.e., explicit definition of these factors, would allow for constant observation of the behavioral trends and for organizing the activity in a way conducive for influencing the favorable change of these factors. In addition, the presence of the critical management factor (CMF) system enables one to check the significance of any activity (i.e., any processes within a company) against these factors.",,,
25,066-611-818-335-788,"The use of graphical representations is very common in information technology and engineering. Although these same tools could be applied effectively in other areas, they are not used because they are hardly known or are completely unheard of. This article aims to discuss the results of the experimentation carried out on graphical approaches to knowledge representation during research, analysis and problem-solving in the health care sector. The experimentation was carried out on conceptual mapping and Petri Nets, developed collaboratively online with the aid of the CMapTool and WoPeD graphic applications. Two distinct professional communities have been involved in the research, both pertaining to the Local Health Units in Tuscany. One community is made up of head physicians and health care managers whilst the other is formed by technical staff from the Department of Nutrition and Food Hygiene. It emerged from the experimentation that concept maps are considered more effective in analyzing knowledge domain related to the problem to be faced (description of what it is). On the other hand, Petri Nets are more effective in studying and formalizing its possible solutions (description of what to do to). For the same reason, those involved in the experimentation have proposed the complementary rather than alternative use of the two knowledge representation methods as a support for professional problem-solving.",25,092-264-638-820-590,"Traditionally, database indexing and book indexing have been looked upon as being quite distinct and have been kept apart in textbooks and teaching. The traditional borderline between both variations of indexing, however, should not conceal fundamental commonalities of the two approaches. For example, thesaurus construction and usage, quite common in databases, has hardly been encountered in book indexing so far. Database indexing, on the other hand, has hardly made use of subheadings of the syntax-displaying type, quite common in book indexing. Most database users also prefer precombining vocabulary units and reject concept analysis. However, insisting on precombining descriptors in a large database vocabulary may, in the long run, well be destructive to the quality of indexing and of the searches. A complementary approach is conceivable which provides both precombinations and analyzed subjects, both index language syntax and subheadings, and provides access to an information system via precombinations, without jeopardizing the manageability of the vocabulary. Such an approach causes considerable costs in input because it involves a great deal of intellectual work. On the other hand, much time and costs will be saved in the use of the system. In addition, such an approach would endow an information system with survival power.",,,
26,013-353-791-759-027,"Answering open-domain factual questions requires Natural Language processing for refining document selection and answer identification. With our system QALC (Question Answering system of the Language and Cognition Group), we have participated in the Question Answering track of the TREC8, TREC9 and TREC10 (Text REtrieval Conferences) evaluations. QALC performs an analysis of documents relying on multi-word term searches and their linguistic variation both to minimize the number of documents selected and to provide additional clues when comparing question and sentence representations. This comparison process also makes use of the results of a syntactic parsing of the questions and Named Entity recognition functionalities. Answer extraction relies on the application of syntactic patterns chosen according to the kind of information that is sought, and categorized depending on the syntactic form of the question. These patterns allow QALC to handle nicely linguistic variations at the answer level.",26,160-333-375-465-988,"Sidhom and Hassoun discuss the crucial role of NLP (Natural Language Processing) tools in Knowledge Extraction and Management as well as in the design of Information Retrieval Systems. The authors focus more specifically on the morpho-syntactic issues by describing their morpho-syntactic analysis platform, which has been implemented to cover the automatic indexing and information retrieval topics. To this end they implemented the Cascaded Augmented Transition Network (ATN). They used this formalism in order to analyse French text descriptions of Multimedia documents. An implementation of an ATN parsing automaton is briefly described. The Platform in its logical operation is considered as an investigative tool towards the knowledge organization (based on an NP -Noun Phrase- recognition model) and management of multiform e(electronic)-documents (text, multimedia, audio, image) using their text descriptions.",,,
27,106-258-436-803-499,"The purpose, scope, usage, methodology, cross-mapping and encoding of ontologies is summarized. A snapshot of current research and development includes available tools, ontologies, and query engines, with their applications. Benefits, problems, and costs are discussed, and the feasibility and usefulness of ontologies is weighed with respect to potential and current digital library arenas. The author concludes that ontology application potentially has a huge impact within knowledge management, enterprise integration, e-commerce, and possibly education, Outside of heavily funded domains, feasibility depends on assessment of various evolving factors, including the current tools and systems, level of adoption in the field, time and expertise available, and cost barriers.",27,172-261-380-859-581,"This paper is a review of genre analysis of author abstracts carried out in the area of English for Special Purposes (ESP) since 1990. Given the descriptive character of such analysis, it can be valuable for Information Science (IS), as it provides a picture of the variation in author abstracts, depending on the discipline, culture and language of the author, and the envisaged context. The authors claim that such knowledge can be useful for information professionals who need to revise author abstracts, or use them for other activities in the organization of knowledge, such as subject analysis and control of vocabulary. With this purpose in mind, we summarize various findings of ESP research. We describe how abstracts vary in structure, content and discourse, and how linguists explain such variations. Other factors taken into account are the stylistic and discoursal features of the abstract, lexical choices, and the possible sources of bias. In conclusion, we show how such findings can have practical and theoretical implications for IS.",,,
28,145-431-224-278-742,"Recent revision of UDC classes has aimed at implementing a more faceted approach. Many compound classes have been removed from the main tables, and more radical revisions of classes (particularly those for Medicine and Religion) have introduced a rigorous analysis, a clearer sense of citation order, and building of compound classes according to a more logical system syntax. The faceted approach provides a means of formalizing the relationships in the classification and making them explicit for machine recognition. In the Bliss Bibliographic Classification (BC2) (which has been a source for both UDC classes mentioned above), terminologies are encoded for automatic generation of hierarchical and associative relationships. Nevertheless, difficulties are encountered in vocabulary control, and a similar phenomenon is observed in UDC. Current work has revealed differences in the vocabulary of humanities and science, notably the way in which terms in the humanities should be handled when these are semantically complex. Achieving a balance between rigour in the structure of the classification and the complexity of natural language expression remains partially unresolved at present, but provides a fertile field for further research.",28,184-237-567-326-860,"The ways in which notation can be used to express the content of documents to which it relates are various. At the most superficial level notation can correspond to the hierarchical structure of the schedules or link to literal components. The notation of compound concepts can express the structure and composition of the compound, and systems exist in which symbols denote the functional roles of the constituent elements and the relationships between them. At the highest level notation can be used to mirror the actual structure of those entities which it represents, as in the case of mathematical systems or chemical compounds. Methods of displaying these structures are examined, and the practicality in a documentary context is questioned, with particular reference to recent revision work on the chemistry class of the Bliss Bibliographic Classification 2nd edition (BC2).",,,
29,062-376-529-028-631,"Reports on the findings of a study conducted to identify the main concepts used in sociology according to their relative significance. A sample of 87 introductory textbooks of sociology was considered, chapter headings used in them were classified and 100 main concepts were identified. A scheme for their arrangement was suggested using 10 major categories. In order to compare the relative significance of each concept for use in the retrieval tools as headings, a proportion of a book used for a concept by all the authors in these books was added. This cumulative proportion has been termed the «relative weight of a concept», which made it possible to arrange all the 100 concepts into three «levels of significance categories». The study concludes in that no bibliographic information storage and retrievalc",29,007-412-694-977-073,"Attention is drawn to the inadequacies ofthe existing classification schemes as pointed out by individuals and groups concerned with classification research. The article is based on an earlier study by the author, which identified and arranged in a filiatory way the main concepts of sociology and determined their relative significance as headings in a classification scheme The sociology schedule in the Dewey Decimal Classification was examined on the basis of nine evaluation criteria, as e.g. arrangement of major categories, provision for main concepts, use of phrased headings instead of individual key terms, and scattering of related concepts in the schedule. It was found that a large number of the main concepts of sociology are either not represented in the schedule or mentioned in the scope note only along with the main headings. A table shows one hundred main concepts of sociology arranged and classified within ten major categories or sections, and their provision in the DDC. The study suggests that the DDC needs serious reconsideration with regard to the main headings/categories provided as class headings, terminology used for the concepts, the filiatory structure adopted, and the representation of the main concepts of sociology.",,,
30,129-809-003-331-783,"This paper highlights the current situation in the field of indexing language research and practice in China, covering a variety of classifications and thesauri as well as such matters as: standardization and compatibility of indexing languages, natural language processing, Chinese PRECIS, etc. The author points out various problems and future trends in the Chinese indexing languages field",30,044-258-524-068-132,"In China, the Dewey Decimal Classification (DDC) is one of the most influential classifications. It had a great impact on the development of Chinese classification. A comparison between DDC and three representative Chinese classifications corresponding to ancient, modern and contemporary times, illustrate the influence of DDC on Chinese classifications. The celebration of the 120th anniversary of the DDC is a good time to review its introduction, application, development and impact in China.",,,
31,057-466-204-899-197,"A thesaurus is a controlled vocabulary designed to allow for effective information retrieval. It consists of different kinds of semantic relationships, with the aim of guiding users to the choice of the most suitable index and search terms for expressing a certain concept. The relational semantics of a thesaurus deal with methods to connect terms with related meanings and are intended to enhance information recall capabilities. In this paper, focused on hierarchical relations, different aspects of the relational semantics of thesauri, and among them the possibility of developing richer structures, are analyzed. Thesauri are viewed as semantic tools providing, for operational purposes, the representation of the meaning of the terms. The paper stresses how theories of semantics, holding different perspectives about the nature of meaning and how it is represented, affect the design of the relational semantics of thesauri. The need for tools capable of representing the complexity of knowledge and of the semantics of terms as it occurs in the literature of their respective subject fields is advocated. It is underlined how this would contribute to improving the retrieval of information. To achieve this goal, even though in a preliminary manner, we explore the possibility of setting against the framework of thesaurus design the notions of language games and hermeneutic horizon.",31,070-202-933-076-205,"This is a comparative analysis of the term ontology, used in the computer science domain, with the term thesaurus, used in the information science domain. The aim of the study is to establish the main convergence points of these two knowledge representation instruments and to point out their differences. In order to fulfill this goal an analytical-synthetic method was applied to extract the meaning underlying each of the selected definitions of the instruments. The definitions were obtained from texts well accepted by the research community from both areas. The definitions were applied to a KWIC system in order to rotate the terms that were examined qualitatively and quantitatively. We concluded that thesauri and ontologies operate at the same knowledge level, the epistemological level, in spite of different origins and purposes.",,,
32,042-553-754-884-249,"This paper describes the Postulations Based Approach to Facet Classification as articulated by S. R. Ranganathan for knowledge classification and for the design of a facet scheme of library classification, and the Entity-Relationship Data Modelling and Analysis Approach set by Peter Pin-Sen Chen; both further modified by other experts. Efforts have been made to show the parallelism between the two approaches. It points out that, both the theoretical approaches are concerned with the organisation of knowledge or information, and apply almost similar theoretical principles, concepts, and techniques for the design and development of a framework for the organisation of knowledge, information, or data, in their respective domains. It states that both the approaches are complementary and supplementary to each other. The paper also argues that Ranganathan's postulations based approach or analytico-synthetic approach to knowledge classification can be applied for developing efficient data retrieval systems in addition to the data analysis and modelling domain.",32,016-646-164-523-566,Defines the concept of knowledge representation. Explains the major AI (Artificial Intelligence)-based knowledge representation techniques developed so far. Critically examines the strengths and weaknesses of such AI techniques. Argues that the analytico-synthetic approach advocated by Ranganathan is really a powerful knowledge representation technique containing in itself the epistemological foundations required for real progress in the field.,,,
33,131-111-699-854-730,"Knowledge organization in real world situations is a complex task relying on a vast body of knowledge from theories, disciplines, professions, and cultures. This diversity requires a particular instructional design for developing competence in this field. The main features of this design are: real world approach, critical incident analysis, the work on interdependent tasks as a problem-solving method, implementation of solutions, permanent evaluation. It is proposed that documentation of critical incidents, solutions and implementation results serve as a base for establishing knowledge organization as a new interdisciplinary field",33,028-444-433-174-588,"Both basic and applied research on the construction, implementation, maintenance, and evaluation of classification schemes is called classification theory. If we employ Ritzer's metatheoretical method of analysis on the over one-hundred year-old body of literature, we can see categories of theory emerge. This paper looks at one particular part of knowledge organization work, namely classification theory, and asks 1) what are the contours of this intellectual space, and, 2) what have we produced in the theoretical reflection on constructing, implementing, and evaluating classification schemes? The preliminary findings from this work are that classification theory can be separated into three kinds: foundational classification theory, first-order classification theory, and second-order classification theory, each with its own concerns and objects of study.",,,
34,019-178-979-244-511,"This paper discusses the Hornbostel-Sachs Classification of Musical Instruments. This classification system was originally designed for musical instruments and books about instruments, and was first published in German in 1914. Hornbostel-Sachs has dominated organological discourse and practice since its creation, and this article analyses the scheme’s context, background, versions and impact. The position of Hornbostel-Sachs in the history and development of instrument classification is explored. This is followed by a detailed analysis of the mechanics of the scheme, including its decimal notation, the influential broad categories of the scheme, its warrant, and its typographical layout. The version history of the scheme is outlined and the relationships between versions is visualised, including its translations, the introduction of the electrophones category, and the Musical Instruments Museums Online (MIMO) version designed for a digital environment. The reception of Hornbostel-Sachs is analysed, and its usage, criticism and impact are all considered. As well as dominating organological research and practice for over a century, it is shown that Hornbostel-Sachs also had a significant influence on the bibliographic classification of music.",34,033-487-167-432-409,"The Value-Added Model, as developed by Robert Taylor in his 1986 monograph Value-Added Processes in Information Systems, has been highly influential in the field of library and information science. Yet despite its impact on the broader LIS field, the potential of the Value-Added Model has gone largely unexplored by knowledge organization (KO) researchers. Unraveling the history behind the Model's development highlights the significant contributions made by studying the work practices of professional indexers. In light of its foundation on KO praxis, this paper reexamines Taylor's Model as a robust framework for evaluating knowledge organization systems.",,,
35,078-887-084-126-065,"This paper considers the ethical concerns that surface around hierarchy as structure in knowledge organization systems. In order to do this, I consider the relationship between semantics and structure and argue for a separation of the two in design and critique of knowledge organization systems. The paper closes with an argument that agency and intention, as ethical concerns in knowledge organization, lead us to argue for a neutral stance on hierarchy.",35,086-321-596-957-783,"This paper provides rationale for considering precepts for an engaged knowledge organization based on a Buddhist conception of intentional action. Casting knowledge organization work as craft, this paper employs Žižek’s conception of violence in language as a call to action. The paper closes with a listing of precepts for an engaged knowledge organization.",,,
36,006-948-163-366-774,"This paper is put up for discussion to help Knowledge Organization find its proper place. To begin with, a few basic concepts from the field of communication theory are defined. The new concepts permit the conclusion that what we are facing at present is not a flood of information but one of messages, and that this latter flood must not be equated indiscriminately with a knowledge flood. Messages must be judged on their contents. To this end, «knowledge» is subdivided into «core-», «peripheral», and «pseudo-knowledge», and it is argued that the great majority of scientific publications contains peripheral and pseudoknowledge. With the aid of two interlocking and self-amplying recursive mechanisms it is shown that and how pseudoknowledge is more and more gaining disciplines, hence precisely in those fields which deal with social problems in the broadest sense of the world; Thus a deficit of knowledge on which to base action is produced, leading to a general disorientation - a modern form of ignorance, keenly manifesting it self at present in a crisis of leadership. The research tasks resulting from the above for Knowledge Organization are roughly outlined",36,071-880-480-221-367,"This paper is put up to enter into a discussion about the theses of Peter Jaenecke in Knowl.Org. 94-1. Jaenecke's differentiation of knowledge as «core knowledge», «peripheral knowledge», and «pseudo knowledge» is rejected, since his conception of knowledge is limited to a particular epistemology and knowledge domain. The author argues in favor of an epistemologically open conception of knowledge organization considering knowledge organization as a user-supporting but not as a user and producer controlling task",,,
37,003-149-126-851-754,"Third part of a series of articles of which Pt.1 was published in KO 23(1996)No.1, p.25-33, Pt.2 in No.3, p.157-168. Pt.4 will follow in KO 24(1997)No.1. In addition to the important distinctions between the fundamental concepts and terms (tags) used in Onomantics and Terminology, as reported in the first two parts of this essay, several other interesting comparisons can be made. First, with reference to formats, both the structure and nomenclature used for terminological entries (records) in ISO 1087 parallel those found in dictionaries and suggest a semantic rather than an onomantic point of view. Second, a large number of borrowed terms taken from Lexicography and Linguistics can be found in this glossary for the terminology of Terminology. Sometimes the definitions for these terms identify them as borrowed concepts drawn from the vocabulary used by lexicographers. However, sometimes new meanings are stipulated for these terms without any markings to show that they are not borrowed concepts. Moreover, in all these cases, since the original and the newly stipulated concepts are similar, ambiguity is unavoidable. Third, some concepts that might be useful for terminologists are not included in ISO 1087: a few examples are explained. They are all concepts which lexicographers do not need and, consequently, they have no terms for them. It seems apparent that they have been omitted from the vocabulary of Terminology simply because they are new concepts without established terms. To explain the reasons for the formats, terms and omissions found in the leading glossary for the terminology of Terminology takes us into a realm of speculation that is too complicated for inclusion here, but I will discuss it in Part IV of this series, with a focus on the problems of neologisms",37,099-934-645-088-072,"Parts I to III of this series have examined the terminology of Terminology by contrast with the vocabulary of Onomantics and identified some of the differences and difficulties revealed by a close study of ISO-1087, the most important glossary for terminologists. Part IV, finally, offers a speculative explanation of these problems. My central hypothesis is that an aversion to neologisms - especially newly coined words - impedes the introduction and acceptance of new concepts. The pressure for standardization of terminology compounds this difficulty. There are three kinds of neologisms: 1. newly coined words (neoterisms), 2. phases composed of familiar words (phrasal tags) and 3. familiar words for which new meanings have been stipulated (meta-terms). Neologisms in the form of phrases containing familiar words are often found in ISO 1087. Some perplexing ambiguities in ISO 1087 occur when new meanings are stipulated for familiar words, creating terminological metaphors (meta-terms) that are often obscure. Such meta-terms abound in the terminology of Terminology. Increased willingness to accept well-formed new words (neoterisms) would greatly simplify the development of a more adequate terminology for Terminology. The use of pleonasms is recommended as a technique to overcome ambiguity by linking familiar words having new meanings (meta-terms) to new words for the same concepts (neoterisms) and as a simple way to facilitate the introduction of such neoterisms.",,,
38,008-962-886-761-456,"Following the modelling of the activity related to the completion of a pharmacy thesis, as presented in part I, we have completed the activity analysis by drawing up a structured word list to show the terminological organization around the ten operational phases. Indeed, it seemed obvious to us that the reasoning at the root of any activity is based on words used to describe it. This terminology inventory which we called Structured Terminology Environment (STE), together with the modelling diagram, could eventually be directly used during the conceiving of a software tool specific to the studied professional activity. The STE is a thesaurus of 565 words selected on the basis of a corpus stemming from five pharmacy theses and six books, where we put the significant terms which represent the actors and actions we observed during the ten phases, as well as the handled tools. Once the terms were shared out among the ten basic operations, we structured the terminology by grouping the concepts of a same nature so that the sub-categories show a certain homogeneity around the action. We used the following basic relationships: generic/specific relationships, whole/part relationships and finally, we completed the categorization with the help of classes induced by facets (process, phenomenon, properties, material or object, tool or equipment and operating conditions).",38,094-265-951-156-144,"In this paper, made up of parts I and II, we investigate the complex relationships between knowledge, information and activity in order to study how a system of activity assistance can help the actor to solve his information problems. Through the example of the completion of a pharmacy thesis, we have tried, in part I, to describe, schematize and model the successive phases that make up the whole of this activity. Our method of observation and analysis combined the observation of two students preparing their pharmacy theses, the reading of five theses and the reading of six books. We thus propose in a table form, a modelling outline that presents the sequential succession of the ten operational phases describing the completion of a pharmacy thesis following a chronological order: (1) Subject definition, (2) Documentary research, (3) Documents analysis, (4) Conceiving of the experimental strategy, (5) Experimentation, (6) Results interpretation, (7) Writing of the thesis, (8) Administrative procedures, (9) Preparation of the viva, (10) Viva. The table also presents the succession of the structural, operational, material and human elements: Referents of the activity, Subject of the activity, Location of the activity, Identification of the operations, Handled objects, and Actors. We have refined the activity analysis by drawing up a structured list, showing the organization of the terms related to the different operational phases. This work is presented in part II.",,,
39,001-281-947-751-975,"Gives an account of the editing of Universal Decimal Classification (UDC) from the full database to produce a brief, simplified version. Describes the selection criteria, difficulties in maintaining consistency and insights gained into optimizing future maintenance of the scheme.",39,081-453-122-790-793,"Possibilities are being explored to use traditional bibliographic tools, like Dewey Decimal Classification (DDC), Library of Congress Classification (LCC), Library of Congress Subject Headings (LCSH), and Universal Decimal Classification (UDC), to improve the organization of information resources on the Internet. The most recent edition of DDC, with its enhanced features, has greater potential than other traditional approaches. A review of selected Web sites that use DDC to organize Web resources indicates, however, that the full potential of the DDC scheme for this purpose has not been realized. While the review found that the DDC classification structure was more effective when compared with other knowledge organization systems, we conclude that DDC needs to be further enhanced to make it more suitable for this application. As widely reported in the professional literature, OCLC has conducted research on the potential of DDC for organizing Web resources. Such research, however, is experimental and should be supplemented by empirical studies with user participation.",,,
40,152-347-604-820-830,"<p>The Basics Concept Classification (BCC) is a “universal” scheme: it attempts to encompass all areas of human understanding. Whereas most universal schemes are organized around scholarly disciplines, the BCC is instead organized around phenomena (things), the relationships that exist among phenomena, and the properties that phenomena and relators may possess. This structure allows the BCC to apply facet analysis without requiring the use of “facet indicators.” The main motivation for the BCC was a recognition that existing classifications that are organized around disciplines serve interdisciplinary scholarship poorly. Complex concepts that might be understood quite differently across groups and individuals can generally be broken into basic concepts for which there is enough shared understanding for the purposes of classification. Documents, ideas, and objects are classified synthetically by combining entries from the schedules of phenomena, relators, and properties. The inclusion of separate schedules of-generally verb-like-relators is one of the most unusual aspects of the BCC. This (and the schedules of properties that serve as adjectives or adverbs) allows the production of sentence-like subject strings. Documents can then be classified in terms of the main arguments made in the document. BCC provides very precise descriptors of documents by combining phenomena, relators, and properties synthetically. The terminology employed in the BCC reduces terminological ambiguity. The BCC is still being developed and it needs to be fleshed out in certain respects. Yet it also needs to be applied; only in application can the feasibility and desirability of the classification be adequately assessed. </p>",40,073-772-579-450-922,"For millennia the famous library in Hellenistic Alexandria has been praised as an epicenter of enlightenment and wisdom. And yet, a question still seems unanswered: how was its literature classified and retrieved? It is a subject that has been given surprisingly little attention by the field of library-and-information science―indeed, by scholarship in general. Furthermore, a certain way of thinking has influenced the few answers that have so far been attempted. It is as if the scholars of our era have tried to identify the modern, physical library in the Hellenistic library in Alexandria. But such an approach is biased in a basic way: It simply does not consider the impact of the cultural and intellectual context of the library. This article differs fundamentally, because I reject the notion that the library was like those of today. Accordingly, an entirely new way of understanding how the library actually worked, in terms of classification and retrieval processes is presented. The key element is to understand the library both as a physical structure and as a struc- ture in the memory of the Alexandrian scholars. In this article, these structures are put together so as to propose a new interpretation of the library.",,,
41,084-598-061-461-73X,"This paper describes a proposal for a new approach to thesaurus design and construction that could have significant implications for change in the way multilingual thesauri are handled and integrated with each other. The formula presented here has its origin in the work of the German Thesaurus Committee and has had input from a number of scientists and practitioners in the field. The emphasis is on the various types of relationships found among concepts, notions and universals in languages. These relationships are analysed and refined beyond the approach taken in existing thesauri. This proposal is very much at the discussion stage and the author invites the assistance of interested readers through criticisms, discussion and dialogue. Applications of the proposed thesaurus are included and the major goal of this proposal is to provide the basis for improved design and integration of multilingual thesauri.",41,138-064-131-484-39X,"This paper describes a proposal for a new approach to thesaurus design and construction that could have significant implications for change in the way multilingual thesauri are handled and integrated with each other. The formula presented here has its origin in the work of the German Thesaurus Committee and has had input from a number of scientists and practitioners in the field. The emphasis is on the various types of relationships found among concepts, notions and universals in languages. These relationships are analysed and refined beyond the approach taken in existing thesauri. This proposal is very much at the discussion stage and the author invites the assistance of interested readers through criticisms, discussion and dialogue. Applications of the proposed thesaurus are included and the major goal of this proposal is to provide the basis for improved design and integration of multilingual thesauri.",,,
42,111-417-084-591-248,"This paper provides a review of the literature related to the application of domain-specific thesauri in the search and retrieval process. Focusing on studies which adopt a user-centred approach, the review presents a survey of the methodologies and results from empirical studies undertaken on the use of thesauri as sources of term selection for query formulation and expansion during the search process. It summaries the ways in which domain-specific thesauri from different disciplines have been used by various types of users and how these tools aid users in the selection of search terms. The review consists of two main sections covering, firstly studies on thesaurus-aided search term selection and secondly those dealing with query expansion using thesauri. Both sections are illustrated with case studies that have adopted a user-centred approach.",42,130-761-142-426-753,"This paper reports the design of a Chinese test collection with multilingual queries and the application of this test collection to evaluate information retrieval (IR) systems. The effective indexing units, IR models, translation techniques, and query expansion for Chinese text retrieval are identified. The collaboration of East Asian countries for construction of test collections for cross-language multilingual text retrieval is also discussed in this paper. As well, a tool is designed to help assessors judge relevance and gather the events of relevance judgment. The log file created by this tool will be used to analyze the behaviors of assessors in the future.",,,
43,052-670-916-661-239,"<p>The goal of this study is to develop a taxonomy of earthquake response and recovery using online information resources for organizing and sharing earthquake-related online information resources. A constructivist/interpretivist research paradigm was used in the study. A combination of top-down and bottom-up approaches was used to build the taxonomy. Facet analysis of disaster management, the timeframe of disaster management, and modular design were performed when designing the taxonomy. Two case studies were done to demonstrate the usefulness of the taxonomy for organizing and sharing information. The facet-based taxonomy can be used to organize online information for browsing and navigation. It can also be used to index and tag online information resources to support searching. It creates a common language for earthquake management stakeholders to share knowledge. The top three level categories of the taxonomy can be applied to the management of other types of disasters. The taxonomy has implications for earthquake online information management, knowledge management and disaster management. The approach can be used to build taxonomies for managing online information resources on other topics (including various types of time-sensitive disaster responses). We propose a common language for sharing information on disasters, which has great social relevance.</p>",43,118-692-472-273-242,"At the end of 2005, impending digitization efforts and several developments related to the creation of access and discovery tools for informational and cultural objects resulted in a series of responses that continue to ripple throughout the library, museum and archive communities. These developments have broad implications for all three communities because of the goals shared by each in the creation of description, control and enhanced access to informational and cultural objects. This position paper will consider new implementations of faceted navigation and browsing features in online catalogs. It is also a response to challenges to develop interwoven approaches to the study of information seeking and the design and implementation of search and discovery systems. Urgently needed during this time of experimentation, development and implementation is a framework for system evaluation and critical analysis of needed and missing features that is grounded in traditional principles, borne out by practice. Such a framework could extend feature analysis protocols established during the early years of online catalog development.",,,
44,097-759-558-650-313,"This article reports on an empirical investigation into the information needs and information organization practices of small business enterprises in South Africa. The purpose of the investigation was to determine what information should be taken into account when designing systems for organizing information in such businesses, and how these businesses actually organize their electronic documents. The investigation of the systems in use also presented the opportunity to gather business concepts that were used to construct a generic classification scheme for the purpose of information organization in small enterprises. Data were gathered from 24 small businesses located in three different provinces by means of personal interviews with owners/managers, guided by a questionnaire, and through on-site observation of the information organization systems used. The results of the survey show what information is regarded as critically important in small businesses, and give insight into the current situation with regard to information organization in the businesses. Recommendations are made for improving information organization in small businesses.",44,012-310-673-639-60X,"This investigation was undertaken to explore the prospect of using the repertory grid structured interview technique as a tool for creating metadata. The following question is considered: Could Repertory Grid technique be used as a tool in the creation of metadata? It is postulated that repertory grid technique may be used as a tool for creating metadata labels, or tags, where the labels or tags describe entities, which may be images, documents or expressions. Repertory grid technique can provide a method for examining the detail about an individual's mental models, or personal construct systems of lifeworld entities, which may include images, documents or expressions. The question were considered by looking at the results of an earlier study, which explored the personal constructs of systems analysts using the repertory grid technique to examine the mental conceptualizations that determine the extent of difference in conceptualization. Categorical core areas of expressions used during software requirements development emerge through classification of the conceptualizations of expressions elicited via the repertory grid interviews. Repertory grid also reveals, through cluster analysis, the subtle difference in the way each participant conceptually related one expression to another expression. The differences in conceptual relationship of expressions or concepts could represent insight about how people view entities of a lifeworld. In a situation where metadata are used to label entities of a lifeworld for organization and retrieval of information, the differences in conceptual relationships might influence the metadata created and how they are used in the lifeworld for the organization and retrieval of information.",,,
45,025-832-836-773-820,"<p>S.R. Ranganathan is credited with the introduction of the term “facet” in the field of knowledge organization towards the middle of the twentieth century. Facets have traditionally been used to organize document collections and to express complex subjects. In the digital world, they act as filters to facilitate navigation and improve retrieval. But the popularity of the term does not mean that a definitive characterization of the concept has been established. Indeed, several conceptualizations of the facet co-exist. This article provides an overview of formal and informal definitions found in the literature of knowledge organization, followed by a discussion of four common conceptualizations of the facet: process vs product, nature vs function, object vs subject and organization vs navigation. </p>",45,098-507-725-113-618,"Bibliographic classification systems purport to organize the world of knowledge for information storage and retrieval purposes in libraries and bibliographies, both manual and online. The major systems that have predominated during the twentieth century were originally predicated on the academic disciplines. This structural principle is no longer adequate because multidisciplinary knowledge production has overtaken more traditional disciplinary perspectives and produced communities of cooperation whose documents cannot be accommodated in a disciplinary structure. This paper addresses the problems the major classifications face, reports some attempts to revise these systems to accommodate multidisciplinary works more appropriately, and describes some theoretical research perspectives that attempt to reorient classification research toward the pluralistic needs of multidisciplinary knowledge creation and the perspectives of different discourse communities. Traditionally, the primary desiderata of classification systems were mutual exclusivity and joint exhaustivity. The need to respond to multidisciplinary research may mean that hospitality will replace mutual exclusivity and joint exhaustivity as the most needed and useful characteristics of classification systems in both theory and practice.",,,
