Lens ID,Abstract,cluster
109-760-057-069-354,"Computer linguistics continues to be in need of an integrative language-theory model. Maria Theresia Rolland proposes such a model in her book ,,Sprachverarbeitung durch Logotechnik (1994). Relying upon the language theory of Leo Weisgerber, she pursues a pure ,,content oriented approach, by which she understands an approach in terms of the semantics of words. Starting from the ,,implications of word-contents, she attempts to construct a complete grammar of the German language. The reviewer begins his comments with an immanent critique, calling attention to a number of serious contradictions in Rolland's concept, among them, her refusal to take syntax into account despite its undeniably real presence. In the second part of his comments, the reviewer then takes up his own semiotic language theory published in 1981, showing that semantics is but one of four semiotic dimensions of language, the other dimensions being the sigmatic, the pragmatic and the syntactic. Without taking all four dimensions into account, no theory can offer an adequate integrative language model. Indeed, without all four dimensions, one cannot even develop an adequate grammar of German sentence construction. The fourfold semiotic model discloses as well the universally valid structures of language as the intersubjective expression of human self-awareness. Only on the basis of these universal structures, it is argued, is it possible to identify the specific structures of a native-language, and that on all four levels. This position has important consequences for the problems of computer translation and the comparative study and use of languages",Cluster 6
110-502-601-552-555,"The architecture of multilingual software systems is sometimes centred around an intermediate language. The question is analyzed to what extent this approach can be useful for multilingual thesauri, in particular regarding the functionality the thesaurus is designed to fulfil. Both the runtime use, and the construction and maintenance ofthe system is taken into consideration. Using the perspective of general language technology enables to draw on experience from a broader range of fields beyond thesaurus design itself as well as to consider the possibility of using a thesaurus as a knowledge module in various systems which process natural language. Therefore the features which thesauri and other natural-language processing systems have in common are emphasized, especially at the level of systems design and their core functionality. (Author)",Cluster 6
116-226-320-354-253,"Argumentation as reflected in a short communication from the published literature of botany and zoology is discussed. Trying to capture the logic structure of the argument, however imperfectly, is relevant to information science and depends on a particular goal: namely, to potentially benefit the task of sketching the relationship between bibliographic entries in a better manner than is possible with present-day bibliometric or scientometric practice. This imposes tight limits on the depth of analysis of the text.",Cluster 0
117-281-186-702-242,"In recent years management and business studies have witnessed the emergence of a new field of activity, named corporate knowledge management (CKM). The primary goal of this management discipline is to enhance and improve the use of knowledge as a corporate resource in organizations. Theoretical and practical initiatives in this area of management, however, have met with some difficulty regarding the conception of knowledge that should guide these efforts. This paper critically examines the contribution of Nonaka (1994) to this conceptual problem. While we support Nonaka's reasons for choosing a subjectivist epistemology in this managerial context, we argue that he is seriously misguided with regard to the philosophical and managerial ramifications of his choice. Consequently, we doubt whether Nonaka's views can serve as a successful paradigm for corporate knowledge management.",Cluster 0
118-400-153-349-767,"This paper is concerned with approaches to the design and production of a software package to demonstrate the feasibility of enhancing comprehension, and navigating complexity, using features uniquely dependent upon the The concern here is with the design of a software package to demonstrate how the power of both scientific and artistic approaches may be integrated to enhance comprehension and navigation of complexity - as - well as offering new forms of creativity in response to complex policy conditions, riches and subtleties of artistic insight",Cluster 1
121-066-553-719-090,"HYPERJOSEPH combines hypertext, information retrieval, literary studies, Biblical scholarship, and linguistics. Dialectically, this paper contrasts hypertextual form (the extant tool) and AI-captured content (a desideratum), in the HYPERJOSEPH project. The discussion is more general and oriented to epistemology.",Cluster 5
122-817-336-993-887,"The tight adherenceto dogmas, created and advocated by authorities and disseminated through hearsay, constitutes an impediment to the progress badly needed in view of the low effectiveness of the vast majority of our bibliographic information systems. The Italian mathematician and physicist Galileo has become famous not only for his discoveries but also for his being exposed to the rejective and even hostile attitude on the part of his contemporaries when he contradicted several dogmas prevailing at that time. This obstructive attitude can be traced throughout the centuries and manifests itself in the field of modern information science, too. An example is the allegedly necessary, inevitable precision/recall relationship, as most recently postulated again by Lancaster (1994). It is believed to be confirmed by empirical evidence, with other empirical evidence to the contrary being neglected. This case even constitutes an example of the suppression of truth in the interest of upholding a dogma",Cluster 0
123-112-711-908-995,"This article is a selective review of recent studies in classification and indexing theory. A number of important problems are discussed, including subjectivity versus objectivity, theories of indexing, the theoretical role of automation, and theoretical approaches to a universal classification scheme. Interestingly, much of the work appears to have been done outside the United States. After reviewing the theoretical work itself, some possible reasons for the non-American origins of the work are explored",Cluster 0
129-190-637-644-62X,"The assumption that Gottfried Wilhelm Leibniz is a precursor of the idea of Artificial Intelligence is misleading. The argument is to distinguish between episteme and mind, recognition and cognition. Leibniz interpreted formal symbolic operations as a mere epistemological instrument, but not as a description of what actually happens within the mind: Leibniz denied that a machine can be used as an explanative model of cognition.",Cluster 0
129-809-003-331-783,"This paper highlights the current situation in the field of indexing language research and practice in China, covering a variety of classifications and thesauri as well as such matters as: standardization and compatibility of indexing languages, natural language processing, Chinese PRECIS, etc. The author points out various problems and future trends in the Chinese indexing languages field",Cluster 1
130-002-174-568-206,"Lexicography is the science that undergirds the preparation of dictionaries as lists of words and phrases whose meanings are defined on the basis of semantic analysis. By contrast, Onomantics reverses this paradigm : it identifies concepts that are related to each other and need to be represented as important tools in the production and organization of knowledge. Terminology bridges these two approaches : it draws heavily on the lexicographic model while moving stolidly toward an onomantic framework - from a semantic focus on the meanings of words to an onomasiological concern with the identification and representation of concepts. The article is the first of a Two Part sequence in which the basic concepts and the rationale of Onomantics are identified. They provide a framework for enhancing the ability of Terminology to contribute to Knowledge Organization. The essential logic of Onomantics as the science of concept representation is explained and its general relationship to Terminology as a growing but mixed field of applications is discussed. (Author)",Cluster 6
134-995-876-286-996,"The contents of scientific and technical handbooks often needs fast, reliable and precise subject access, even if the searcher is not familiar with the terminology of the book and has not read it beforehand. This requires careful and expert subject indexing in a highly specific indexing vocabulary, as well as the presentation of the resulting index in a lucid, conceptually transparent manner in print and on disk. Index users, when looking up a general subject heading, often ignore the necessity of looking up the appertaining hierarchically subordinate, more specific subject headings, too. They are either not made aware of these subject headings or their use is felt to be too cumbersome",Cluster 1
138-259-316-198-621,"Survey on the activities going on to develop the UDC into a fully faceted classification system according to the Recommendations of the UDC Management Board. A Master Reference File (MRF) has been created from which any publisher or institution may develop its own versions according to the requests of its clientele. The UDC Technical Director at the FID Headquarters in The Hague maintains this File. An Editorial Board and an Editor in Chief was appointed. Extensions and Corrections are being published. Examples are given on ongoing revision work in the classes for Astronomy, Linguistics and Philology as well as in Medicine. Cooperation with the Editors of the Bliss Classification and the Dewey Decimal Classification exists.",Cluster 7
146-362-763-625-758,"The Colon Classification (CC) was first published by its founder, S.R. Ranganathan, in 1933. Since then it has undergone seven revisions, the most recent being 1987. Although it became India's de facto national classification system, it is falling into disuse, and its perpetuation as a viable system is currently jeopardised. The author identifies a number of reasons for this trend. For example, the CC lacks the institutional support that benefits other modern systems such as the DDC, UDC, and LCC. The author offers a number of specific suggestions for preserving and revitalising the system.",Cluster 3
148-753-200-673-175,"The arts, humanities, and social sciences commonly borrow concepts and methods from the sciences, but interdisciplinary borrowing seldom occurs in the opposite direction. Research on narrative discourse is relevant to problems of documentary storage and retrieval, for the arts and humanities in particular, but also for other broad areas of knowledge. This paper views the potential application of narrative discourse analysis to information storage and retrieval problems from two perspectives: 1) analysis and comparison of narrative documents in all disciplines may be simplified if fundamental categories that occur in narrative documents can be isolated; and 2) the possibility of subdividing the world of knowledge initially into narrative and non-narrative documents is explored with particular attention to Werlich's work on text types",Cluster 0
160-606-850-771-257,"The pervasiveness of classification in all human activities is described. Classification is characterized as being relative, utilitarian, and artificial. The importance of classification in library settings and academic disciplines is documented. Classification is described as an emerging, independent discipline.",Cluster 3
164-013-219-239-121,"Many classifications of standards exist. These are often inconsistent, which may lead to confusion in standardization practice. This article includes an inventory of current classifications and a discussion of their applicability. Based on the new insights, gained from this examination, other possible classifications of standards are suggested. These classifications may be related to the entities the standards refer to or to the users of the standards.",Cluster 7
167-707-200-597-186,"Online textbooks can be connected to other sources of information to improve their educational value. We describe two case studies. One used a medical textbook and connected to medical journal abstracts via a thesaurus. The textbook, journal abstracts, and thesaurus were stored on a CD-ROM. The other case study shows a textbook on the World Wide Web that is connected to various other sources of information. About half the book references are to web sites, and the textbook is part of an online course that is connected to an online catalog and other courses. Such linkages among information spaces should help students navigate the information relevant to their studies",Cluster 5
169-888-128-565-929,"Interrelations of knowledge and ignorance are considered in connection with problems of classification, increase of parascientific investigations and incomplete world pictures. The tension between knowledge and ignorance can never be overcome, because knowledge is secondary, relative, particular and finite, while ignorance is primary, whole, absolute, and infinite",Cluster 5
170-177-625-955-412,TOSCANA is a computer program which allows an online interaction with larger data bases to analyse and explore data conceptually. It uses labelled line diagrams of concept lattices to communicate knowledge coded in given data. The basic problem to create online presentations of concept lattices is solved by composing prepared diagrams to nested line diagrams. A larger number of applications in different areas have already shown that TOSCANA is a useful tool for many purposes. (Authors),Cluster 4
179-665-467-280-842,"Discusses the need for facilities for online vocabulary control and standardization of terms, codes, etc., so as to secure consistency in naming of subjects, objects, countries, languages, etc., in databases at data entry stage. Most information storage and retrieval packages for microcomputers including MicroIsis provide for online vocabulary control in formulating search expressions for information retrieval, but not ata the data entry stage. VOCON.PAS is a Pascal interface program for use with MicroIsis software for (a) online selection of term(s) and/or code(s) from vocabulary control tool, such as, a thesaurus, subject heading list, classification scheme, nomenclature list(s)",Cluster 4
180-658-270-170-05X,"Ramon Llull (1232-1316) wrote many didactic and theoretical works that demonstrate an exhaustive and creative approach to the organization of knowledge. His encyclopedic Arbre de sciencia (1296) was a multi-volume summation of human knowledge, organized according to a plan that could be applied to other works. Set against a background of Llull's other tree-based works, including the Libre del gentile dels tres savis (1274-89), and the Arbre de filosofia desiderat (1294), the Arbre de sciencia is described and analyzed as a faceted classification system.",Cluster 3
185-059-218-401-751,"The paper presents a coword-analysis-based system called SDOC which is able to support the intellectual work of an end-user who is searching for information in a bibliographic database. This is done by presenting its thematical structure as a map of keyword clusters (themes) on a graphical user interface. These mapping facilities are demonstrated on the basis of the research field Social History given by a set of documents from the social science literature database SOLIS. Besides the traditional way of analysing a coword map as a strategic diagram, the notion of cluster relationships analysis is introduced which provides an adequate interpretation of links between themes.",Cluster 0
185-129-272-793-400,"Reports on investigations conducted at the Institute for Scientific, Technical and Economic Information (ISTEI) in Warsaw (Poland) in 1992-1993. These investigations aimed at a comparative analysis of four indexing languages (ILs) developed and/or used in Poland and at the establishment of concordances between them. These were the following ILs: Polish Thematic Classification (PTC) descriptor language based on the Thesaurus of Common Topics (TCT), Universal Decimal Classification (UDC), Subject-Heading Language of the National Library in Warsaw (SHL). When establishing concordances the PTC was chosen as the master language whereas the three other ILs served as target languages",Cluster 3
191-348-260-799-474,"In both Onomantics and Terminology there are about a half-dozen core concept which overlap but do not coincide with each other. They include what is called representation, description, cue, tag and notation in Onomantics and, in Terminology, definition, designation, term, symbol and name. A lexicographer writing a synonymy for such words might compare their meanings to show how they resemble or differ from each other, using a Semantic (words-to-meanings) point of view. To compare concepts (not words) in an Onomantic (Ana-Semantic, or concept-to-tag) context, one needs to compare the descriptions (definitions) of each concept to see whether they, indeed, have the same or different essential characteristics. One also needs to compare the notations that situate each concept in a system - even if the definitions of two concepts are almost the same, one might discover that because two concepts are positioned differently in their respective classification schemes, they are conceptualized differently. Finally, the concept tags (terms) used to represent each concept can also be compared semantically, i.e. to see whether their connotations and additional meanings support or hamper the unambiguous recognition of each intended concept. After an introductory display of the two sets of concepts, each of those used in Terminology is compared systematically, using all three sets of comparisons, with the nearest equivalent concepts used in Onomantics",Cluster 7
191-464-698-912-126,"The paper is divided into three parts. The first develops a framework for evaluating the indexing needs of the humanities with reference to four sets of contrasts: user (need)-oriented vs. document-oriented indexing; subject indexing vs. attribute indexing, scientific writing vs. humanistic writing; and topical relevance vs. logical relevance vs. evidential relevance vs. aesthetic relevance. The indexing needs of the humanities range broadly across these contrasts. The second part establishes the centrality of relationships to the communication of indexable matter and examines the advantages and disadvantages of means used for their expression in both natural languages and index languages. The use of a relational structure, such as a frame, is shown to represent perhaps the best available option. The last part illustrates where the use of relational structures in humanities indexing would help meet some of the needs previously identified. Although not a panacea, the adoption of frame-based indexing in the humanities might substantially improve the retrieval of its literature",Cluster 5
194-556-078-156-224,"Different approaches to the classification of a knowledge field include empiristic, rationalistic, historicist, and pragmatic methods. This paper demonstrates how these different methods have been applied to the classification of psychology. An etymological approach is insufficient to define the subject matter of psychology, because other terms can be used to describe the same domain. To define the subject matter of psychology from the point of view of its formal establishment as a science and academic discipline (in Leipzig, 1879) is also insufficient because this was done in specific historical circumstances, which narrowed the subject matter to physiologically-related issues. When defining the subject area of a scientific field it is necessary to consider how different ontological and epistemological views have made their influences. A subject area and the approaches by which this subject area has been studied cannot be separated from each other without tracing their mutual historical interactions. The classification of a subject field is theory-laden and thus cannot be neutral or ahistorical. If classification research can claim to have a method that is more general than the study of the concrete developments in the single knowledge fields the key is to be found in the general epistemological theories. It is shown how basic epistemological assumptions have formed the different approaches to psychology during the 20th century. The progress in the understanding of basic philosophical questions is decisive both for the development of a knowledge field and as the point of departure of classification. The theoretical principles developed in this paper are applied in a brief analysis of some concrete classification systems, including the one used by PsycINFO / Psychological Abstracts. The role of classification in modern information retrieval is also briefly discussed.",Cluster 0
001-281-947-751-975,"Gives an account of the editing of Universal Decimal Classification (UDC) from the full database to produce a brief, simplified version. Describes the selection criteria, difficulties in maintaining consistency and insights gained into optimizing future maintenance of the scheme.",Cluster 3
006-687-633-497-865,"The Iter Project (iter means path or journey in Latin) is an internationally supported non-profit research project created with the objective of providing electronic access to all kinds and formats of materials that relate to the Middle Ages and Renaissance (400-1700) and that were published between 1700 and the present. Knowledge representation and organization decisions for the Project were influenced by its potential international clientele of scholarly users, and these decisions illustrate the importance and efficacy of collaboration between specialized users and information professionals. The paper outlines the scholarly principles and information goals of the Project and describes in detail the methodology developed to provide reliable and consistent knowledge representation and organization for one component of the Project, the Iter Bibliography. Examples of fully catalogued records for the Iter Bibliography are included.",Cluster 5
008-962-886-761-456,"Following the modelling of the activity related to the completion of a pharmacy thesis, as presented in part I, we have completed the activity analysis by drawing up a structured word list to show the terminological organization around the ten operational phases. Indeed, it seemed obvious to us that the reasoning at the root of any activity is based on words used to describe it. This terminology inventory which we called Structured Terminology Environment (STE), together with the modelling diagram, could eventually be directly used during the conceiving of a software tool specific to the studied professional activity. The STE is a thesaurus of 565 words selected on the basis of a corpus stemming from five pharmacy theses and six books, where we put the significant terms which represent the actors and actions we observed during the ten phases, as well as the handled tools. Once the terms were shared out among the ten basic operations, we structured the terminology by grouping the concepts of a same nature so that the sub-categories show a certain homogeneity around the action. We used the following basic relationships: generic/specific relationships, whole/part relationships and finally, we completed the categorization with the help of classes induced by facets (process, phenomenon, properties, material or object, tool or equipment and operating conditions).",Cluster 7
009-175-881-547-438,"The notion of category, from Aristotle and Kant to the present time, has been used as a basic intellectual tool for the analysis of the existence and changeableness of things. Ranganathan was the first to extrapolate the concept into the Theory of Classification, placing it as an essential axis for the logical organization of knowledge and the construction of indexing languages. This paper proposes a conceptual and methodological reexamination of the notion of category from a functional and instrumental perspective, and tries to clarify the essential characters of categories in that context, and their present implications regarding the construction and evaluation of indexing languages.",Cluster 6
013-353-791-759-027,"Answering open-domain factual questions requires Natural Language processing for refining document selection and answer identification. With our system QALC (Question Answering system of the Language and Cognition Group), we have participated in the Question Answering track of the TREC8, TREC9 and TREC10 (Text REtrieval Conferences) evaluations. QALC performs an analysis of documents relying on multi-word term searches and their linguistic variation both to minimize the number of documents selected and to provide additional clues when comparing question and sentence representations. This comparison process also makes use of the results of a syntactic parsing of the questions and Named Entity recognition functionalities. Answer extraction relies on the application of syntactic patterns chosen according to the kind of information that is sought, and categorized depending on the syntactic form of the question. These patterns allow QALC to handle nicely linguistic variations at the answer level.",Cluster 6
013-636-309-273-433,"The work we are presenting is devoted to the information collected on the WWW. By the term collected we mean the whole process of retrieving, extracting and presenting results to the user. This research is part of the RAP (Research, Analyze, Propose) project in which we propose to combine two methods: (i) query formulation using linguistic markers according to a given point of view; and (ii) text semantic analysis by means of contextual exploration results (Descles, 1991). The general project architecture describing the interactions between the users, the RAP system and the WWW search engine is presented in Nait-Baha et al. (1998). We will focus this paper on showing how we use linguistic markers to reformulate the queries according to a given point of view.",Cluster 5
014-482-297-957-834,"Organizing and providing access to the resources on the Internet has been a problem area in spite of the availability of sophisticated search engines and other software tools. There have been several attempts to organize the resources on the World Wide Web. Some of them have tried to use traditional library classification schemes such as the Library of Congress Classification, the Dewey Decimal Classification and others. However there is a need to assign proper subject headings to them and present them in a logical or hierarchical sequence to cater to the need for browsing. This paper attempts to describe an experimental system designed to organize and provide access to web documents using a faceted pre-coordinate indexing system based on the Deep Structure Indexing System (DSIS) derived from POPSI (Postulate based Permuted Subject Indexing) of Bhattacharyya, and the facet analysis and chain indexing system of Ranganathan. A prototype software system has been designed to create a database of records specifying Web documents according to the Dublin Core and to input a faceted subject heading according to DSIS. Synonymous terms are added to the standard terms in the heading using appropriate symbols. Once the data are entered along with a description and the URL of the web document, the record is stored in the system. More than one faceted subject heading can be assigned to a record depending on the content of the original document. The system stores the surrogates and keeps the faceted subject headings separately after establishing a link. The search is carried out on index entries derived from the faceted subject heading using the chain indexing technique. If a single term is input, the system searches for its presence in the faceted subject headings and displays the subject headings in a sorted sequence reflecting an organizing sequence. If the number of retrieved headings is too large (running into more than a page) the user has the option of entering another search term to be searched in combination. The system searches subject headings already retrieved and looks for those containing the second term. The retrieved faceted subject headings can be displayed and browsed. When the relevant subject heading is selected the system displays the records with their URLs. Using the URL, the original document on the web can be accessed. The prototype system developed in a Windows NT environment using ASP and a web server is under rigorous testing. The database and index management routines need further development.",Cluster 5
016-646-164-523-566,Defines the concept of knowledge representation. Explains the major AI (Artificial Intelligence)-based knowledge representation techniques developed so far. Critically examines the strengths and weaknesses of such AI techniques. Argues that the analytico-synthetic approach advocated by Ranganathan is really a powerful knowledge representation technique containing in itself the epistemological foundations required for real progress in the field.,Cluster 1
018-426-685-841-728,"Classification is a transdisciplinary activity that occurs during all human pursuits. Classificatory activity, however, serves different purposes in different situations. In information retrieval, the primary purpose of classification is to find knowledge that already exists, but one of the purposes of classification in other fields is to discover new knowledge. In this paper, classifications for information retrieval are called professional classifications because they are devised by people who have a professional interest in classification, and classifications for knowledge discovery are called naive classifications because they are devised by people who have no particular interest in studying classification as an end in itself. This paper compares the overall purposes and methods of these two kinds of classifications and provides a general model of the relationships between the two kinds of classificatory activity in the context of information studies. This model addresses issues of the influence of scholarly activity and communication on the creation and revision of classifications for the purposes of information retrieval and for the purposes of knowledge discovery. Further comparisons elucidate the relationships between the universality of classificatory methods and the specific purposes served by naive and professional classification systems.",Cluster 0
019-340-375-042-065,"This paper describes a survey of subject analysis research over the ten year period 1988 to 1998. Data are drawn from the research environment encompassing publications, conference papers, major bibiographic resources in the field of Library and Information Science and selective searches of the Internet. Findings reveal major and minor areas of research activity Trends and developments are identified and conclusions drawn. Strengths and weaknesses in the approaches taken to subject analysis research are discussed and suggestions for improvements are made with a view to future research directions.",Cluster 1
031-740-156-435-499,"This article sets out to investigate genre as a basic criterion in subject indexing of music in libraries and bibliographical databases. The concept of genre is examined in relation to epistemology and to different values and views in both musicology and libraries. The point of departure is to regard music as a domain of actors, institutions and processes. A comprehensive definition of this domain is suggested, which includes several subdomains and discourses. The classical music subdomain and the popular music subdomain are introduced and related to libraries. The article further investigates the concept of paradigm in relation to musicology. It demonstrates how two different paradigms influence the way music is defined, described, classified and indexed and how they are part of a historical context. The fourth part of the article focuses on the concept of genre and the analysis of music and the relation between analytical methods and values/paradigms. In addition, this part focuses on the actors that are responsible for the verbalization of genres in music. The fifth part examines indexing of musical genres with a view to their function as subject access points in databases. The unsatisfactory state of today's practice, as well as the need of a better theoretical foundation of the concept of genre, is documented. The unsatisfactory differentiation in the organising of popular music is exemplified by Danish and Norwegian libraries, including the DK5 system and the Indeksering afmusik guidelines. Finally, arguments are put forward for developing an anthropological paradigm in relation to organizing music in libraries.",Cluster 0
042-401-029-005-536,"This study makes recommendations to adapt and expand the class Religion (200) of the Dewey Decimal Classification (DDC) for libraries in nations, particularly Korea, where religious diversity predominates. It contracts the classes on Christianity, 220-280, into one class, 220, and allows for local Korean emphasis so that religions of Asian, and especially East Asian, origin are given preferred treatment. It relocates Buddhism and other religions of Asian origin into separate divisions, 230 and 240, respectively. The recommendations maintain the basic system and order of DDC. Whenever possible, they adhere to the Korean Decimal Classification in the arrangement of religions of Asian origin. Because the options for religions other than Christianity in DDC are to give preferred treatment to a specific religion, this article tries to generalize the idea to suggest an option in DDC as Option F for > 292-299 Religions other than Christianity, for other nations in the world having similar situations. It says: Contract the Bible and Christianity in 220-280 into 220, and then class other religions to give preferred treatment in 230-280, respectively, following the order in DDC. In that case, the number 2 should be inserted in the second digit of the Bible and Christianity, eg, the Bible 222, Jesus Christ & his family 223.2, and Puritanism 228.59.",Cluster 7
042-553-754-884-249,"This paper describes the Postulations Based Approach to Facet Classification as articulated by S. R. Ranganathan for knowledge classification and for the design of a facet scheme of library classification, and the Entity-Relationship Data Modelling and Analysis Approach set by Peter Pin-Sen Chen; both further modified by other experts. Efforts have been made to show the parallelism between the two approaches. It points out that, both the theoretical approaches are concerned with the organisation of knowledge or information, and apply almost similar theoretical principles, concepts, and techniques for the design and development of a framework for the organisation of knowledge, information, or data, in their respective domains. It states that both the approaches are complementary and supplementary to each other. The paper also argues that Ranganathan's postulations based approach or analytico-synthetic approach to knowledge classification can be applied for developing efficient data retrieval systems in addition to the data analysis and modelling domain.",Cluster 0
046-846-411-960-590,"The library and information studies (LIS) field conducts a minority of research into leisure realms while favoring scholarly and professional contexts as subjects. Such is the case despite compelling evidence of the desirability and profundity of leisure in human life. This article introduces one popular form of leisure, hobbies, as a potentially provocative topic for LIS scholarship. To facilitate research on information within hobbies, the article discusses two conceptual devices: Serious leisure (Stebbins, 1982) describes essential characteristics of leisure, establishes that some types are information-rich, and provides a framework to study leisure systematically; The collectivist theory of domain analysis (Hjorland and Albrechtsen, 1995) orients research to the hobby milieu and its objective information forms, recasting them as hobby domains. As an example of the application of both devices, a case study is reviewed of the information resources in the hobby of cooking. The article closes with a call to action and suggested research program for the study of hobbies in LIS.",Cluster 0
046-947-454-102-783,"Over the last few years the use of the agent/multi-agent paradigm has grown sharply. This paradigm has been applied to different fields including control processes, mobile robots, and information retrieval. In this paper, we present a system architecture based on the agent and multi-agent paradigm that allows us to retrieve and manage any kind of information from the Internet. We present our architecture as a generic and open system architecture. One of its main features is the agents' independence from the network's dynamic. We explain in detail what has already been done in our architecture as well as our future plans.",Cluster 5
050-571-717-599-069,"This paper examines Parmenides's Fragments, Plato's The Sophist, and Aristotle's Prior Analytics, Parts of Animals and Generation of Animals to identify three underlying presumptions of classical logic using the method of Foucauldian discourse analysis. These three presumptions are the notion of mutually exclusive categories, teleology in the sense of linear progression toward a goal, and hierarchy both through logical division and through the dominance of some classes over others. These three presumptions are linked to classificatory thought in the western tradition. The purpose of making these connections is to investigate the cultural specificity to western culture of widespread classificatory practice. It is a step in a larger study to examine classification as a cultural construction that may be systemically incompatible with other cultures and with marginalized elements of western culture.",Cluster 6
051-858-967-360-549,"This paper develops a simple yet powerful typology of scholarly theory, based on the 5W questions: Who?, What?, Where?, When?, and Why?. It also develops a list of the twelve distinct methods used by scholars. These are then evaluated in terms of the 5W questions. Classifying theory types and methods allows scholars and students to better appreciate the advantages and disadvantages of different theory types and methods. Classifications of theory and method can and should be important components of a system for classifying scholarly documents. Researchers and students are presently limited in their ability to search by theory type or method. As a result, scholars often re-invent previous research of which they were unaware.",Cluster 6
057-230-358-061-61X,"In this article the relationship between communication technologies and the LIS (Library and Information Science) concept of knowledge organization will be examined from a medium-theory perspective. The purpose of the medium-theory perspective is to trace the historicity of the LIS concept of knowledge organization, that is, an examination of which tradition has produced the concept. The perspective will help to reveal the condition of possibilities of knowledge organization and its strong connection with communication technologies, and their constitution of the social organization of society. The means and modes of communication fundamentally alter existing ways of thinking and of producing, communicating and organizing knowledge. The LIS concept of knowledge organization will be analyzed in relation to the storing and communication of knowledge in oral cultures, written cultures, print culture, and electronic cultures. Through this, it will be argued that the narrow LIS concept of knowledge organization is subordinated and in interaction with a broader social organization of knowledge in society. Further, it will be argued that the rise of the Internet as a source of knowledge and information must be understood in relation to and in continuation of this interaction. Among other things, it will be concluded that a relevant socio-historical background and framework for the LIS concept of knowledge organization is how humans have organized their intellectual activities throughout history in terms of particular means and modes of communication. Medium theory can provide part of this background and framework.",Cluster 0
062-724-086-574-032,"The article is an analysis of some aspects of knowledge organization in the domain of the arts, especially visual art. The analysis indicates that different socially and historically embedded discourses on art, including pre-paradigmatic studies and scholarly paradigms, pervade knowledge organization in the art institution at three levels, respectively: 1. Art exhibitions, 2. Primary and tertiary document types (printed, audio-visual, and multimedia documents), and 3. Classification systems, bibliographies, and thesauri. The article presents three paradigms in art scholarship (iconographic, stylistic and materialistic) and analyzes in which way, and to what extent, these paradigms are integrated in the taxonomies of the LCC, DDC, UDC, and Soviet BBK classification systems. The paper also addresses the relationship among paradigms, principles for exhibiting works of art, ways of conceptualising and organizing the content in documents on art history, and LIS knowledge organization systems. It is concluded that the UDC, in particular, is well suited for representation of knowledge produced in the contexts of pre-paradigmatic, iconological, and stylistic studies. But documents by the so-called New art scholars drawing on interdisciplinary studies and representing new approaches and paradigms break with the taxonomies on art in the classical hierarchical, universal classification systems. A step towards a solution of problems caused by this break is a polyhierarchical thesaurus such as the Art & Architecture Thesaurus.",Cluster 0
063-962-153-078-208,"This study exemplifies an integrated methodological approach to domain analysis. The study analyzes the field of social work. It is aimed at developing a systematic, comprehensive, and scientifically valid knowledge map, and its applicability as an efficient tool to adequately represent knowledge in the field. The map is composed of seven parts: foundation (meta-knowledge), social worker, environment, organization, area of practice, method, and client. The study followed a qualitative four-phase research methodology. The first phase was a phenomenological analysis of the basic characteristics of social work as a social service. The analysis resulted in a seven-facet subject classification. In the second phase the conceptual skeleton was elaborated, and adjusted to the field of social work by a grounded-theory methodology. The data used for grounding the model were 14 social work resources. The model was tested in the third phase by classifying 200 terms randomly selected from the Dictionary of Social Work (Barker, 1999). Finally, in the fourth phase we classified 197 papers published in two leading journals, Social Work and Social Service Review, in three successive years, 1997, 1998, and 1999. This exemplary study has implications for domain analysis. The paper discusses these implications.",Cluster 6
064-432-781-825-17X,"Rafferty, Pauline, (2001) 'The representation of knowledge in library classification schemes', Knowledge Organisation 28(4) pp.180-192 RAE2008",Cluster 3
068-842-015-943-027,"This paper takes a second look at three prevailing main themes in knowledge organization: i) the academic disciplines as the main structural principle; ii) the fiction/non-fiction distinction; and iii) the appropriate unit of analysis in online retrieval systems. The history and origin of bibliographic classification [Dewey, Bliss, Mills, Beghtol] are discussed from the perspective of pragmatist philosophy and social studies of science [Kuhn, Merton, Reica]. Choices of structural principles in different schemes are found to rely on more or less implicit philosophical foundations, ranging from rationalism to pragmatism. It is further shown how the increasing application of faceted structures as basic structural principles in universal classification schemes [DDC, UDC] impose rationalistic principles and structures for knowledge organization which are not in alignment with the development of knowledge in the covered disciplines. Further evidence of rationalism in knowledge organization is the fiction/non-fiction distinction, excluding the important role of artistic resources for, in particular, humanistic research. Finally, for the analysis of appropriate bibliographic unit, it is argued that there is a need to shift towards a semiotic approach, founded on an understanding of intertextuality, rather than applying standard principles of hierarchical decomposition of documents. It is concluded that a change in classification research is needed, founded on a more historical and social understanding of knowledge.",Cluster 0
