,Lens ID,Document Case,Abstract,Abstract_trim_2_string
67,121-066-553-719-090,Test Case,"HYPERJOSEPH combines hypertext, information retrieval, literary studies, Biblical scholarship, and linguistics. Dialectically, this paper contrasts hypertextual form (the extant tool) and AI-captured content (a desideratum), in the HYPERJOSEPH project. The discussion is more general and oriented to epistemology.",hyperjoseph combin hypertext retriev literari biblic scholarship linguist dialect contrast hypertextu form extant tool ai captur content desideratum hyperjoseph project discuss gener orient epistemolog
68,122-817-336-993-887,Train Case,"The tight adherenceto dogmas, created and advocated by authorities and disseminated through hearsay, constitutes an impediment to the progress badly needed in view of the low effectiveness of the vast majority of our bibliographic information systems. The Italian mathematician and physicist Galileo has become famous not only for his discoveries but also for his being exposed to the rejective and even hostile attitude on the part of his contemporaries when he contradicted several dogmas prevailing at that time. This obstructive attitude can be traced throughout the centuries and manifests itself in the field of modern information science, too. An example is the allegedly necessary, inevitable precision/recall relationship, as most recently postulated again by Lancaster (1994). It is believed to be confirmed by empirical evidence, with other empirical evidence to the contrary being neglected. This case even constitutes an example of the suppression of truth in the interest of upholding a dogma",tight adherenceto dogma creat advoc dissemin hearsay constitut impedi progress badli view low effect vast major bibliograph system italian mathematician physicist galileo becom famou discoveri expos reject even hostil attitud contemporari contradict sever dogma prevail time obstruct attitud trace throughout centuri manifest modern exampl allegedli necessari inevit precis recal relationship recent postul lancast 1994 believ confirm empir evid empir evid contrari neglect case even constitut exampl suppress truth interest uphold dogma
69,123-112-711-908-995,Train Case,"This article is a selective review of recent studies in classification and indexing theory. A number of important problems are discussed, including subjectivity versus objectivity, theories of indexing, the theoretical role of automation, and theoretical approaches to a universal classification scheme. Interestingly, much of the work appears to have been done outside the United States. After reviewing the theoretical work itself, some possible reasons for the non-American origins of the work are explored",articl select review recent theori number import problem discuss versu object theori theoret role autom theoret univers scheme interestingli much appear done outsid unit state review theoret possibl reason american origin explor
70,129-190-637-644-62X,Train Case,"The assumption that Gottfried Wilhelm Leibniz is a precursor of the idea of Artificial Intelligence is misleading. The argument is to distinguish between episteme and mind, recognition and cognition. Leibniz interpreted formal symbolic operations as a mere epistemological instrument, but not as a description of what actually happens within the mind: Leibniz denied that a machine can be used as an explanative model of cognition.",assumpt gottfri wilhelm leibniz precursor idea artifici intellig mislead argument distinguish epistem mind recognit cognit leibniz interpret formal symbol oper mere epistemolog instrument descript actual happen mind leibniz deni machin use explan model cognit
71,129-809-003-331-783,Train Case,"This paper highlights the current situation in the field of indexing language research and practice in China, covering a variety of classifications and thesauri as well as such matters as: standardization and compatibility of indexing languages, natural language processing, Chinese PRECIS, etc. The author points out various problems and future trends in the Chinese indexing languages field",highlight current situat languag research practic china cover varieti thesauri matter standard compat languag natur languag process chines preci variou problem futur trend chines languag
72,130-002-174-568-206,Test Case,"Lexicography is the science that undergirds the preparation of dictionaries as lists of words and phrases whose meanings are defined on the basis of semantic analysis. By contrast, Onomantics reverses this paradigm : it identifies concepts that are related to each other and need to be represented as important tools in the production and organization of knowledge. Terminology bridges these two approaches : it draws heavily on the lexicographic model while moving stolidly toward an onomantic framework - from a semantic focus on the meanings of words to an onomasiological concern with the identification and representation of concepts. The article is the first of a Two Part sequence in which the basic concepts and the rationale of Onomantics are identified. They provide a framework for enhancing the ability of Terminology to contribute to Knowledge Organization. The essential logic of Onomantics as the science of concept representation is explained and its general relationship to Terminology as a growing but mixed field of applications is discussed. (Author)",lexicographi undergird prepar dictionari list word phrase whose mean defin basi semant analysi contrast onomant revers paradigm identifi concept relat repres import tool product terminolog bridg draw heavili lexicograph model move stolidli toward onomant framework semant focu mean word onomasiolog concern identif represent concept articl first sequenc basic concept rational onomant identifi framework enhanc abil terminolog contribut essenti logic onomant concept represent explain gener relationship terminolog grow mix applic discuss
73,134-995-876-286-996,Train Case,"The contents of scientific and technical handbooks often needs fast, reliable and precise subject access, even if the searcher is not familiar with the terminology of the book and has not read it beforehand. This requires careful and expert subject indexing in a highly specific indexing vocabulary, as well as the presentation of the resulting index in a lucid, conceptually transparent manner in print and on disk. Index users, when looking up a general subject heading, often ignore the necessity of looking up the appertaining hierarchically subordinate, more specific subject headings, too. They are either not made aware of these subject headings or their use is felt to be too cumbersome",content scientif technic handbook often fast reliabl precis access even searcher familiar terminolog book read beforehand requir care expert highli specif vocabulari result lucid conceptu transpar manner print disk look gener head often ignor necess look appertain hierarch subordin specif head either made awar head use felt cumbersom
74,138-259-316-198-621,Train Case,"Survey on the activities going on to develop the UDC into a fully faceted classification system according to the Recommendations of the UDC Management Board. A Master Reference File (MRF) has been created from which any publisher or institution may develop its own versions according to the requests of its clientele. The UDC Technical Director at the FID Headquarters in The Hague maintains this File. An Editorial Board and an Editor in Chief was appointed. Extensions and Corrections are being published. Examples are given on ongoing revision work in the classes for Astronomy, Linguistics and Philology as well as in Medicine. Cooperation with the Editors of the Bliss Classification and the Dewey Decimal Classification exists.",survey activ udc fulli facet system accord recommend udc manag board master refer file mrf creat publish institut version accord request clientel udc technic director headquart hagu maintain file editori board editor chief appoint extens correct publish exampl given ongo revis class astronomi linguist philolog medicin cooper editor bliss dewey decim exist
75,146-362-763-625-758,Train Case,"The Colon Classification (CC) was first published by its founder, S.R. Ranganathan, in 1933. Since then it has undergone seven revisions, the most recent being 1987. Although it became India's de facto national classification system, it is falling into disuse, and its perpetuation as a viable system is currently jeopardised. The author identifies a number of reasons for this trend. For example, the CC lacks the institutional support that benefits other modern systems such as the DDC, UDC, and LCC. The author offers a number of specific suggestions for preserving and revitalising the system.",colon first publish founder ranganathan 1933 sinc undergon seven revis recent 1987 although becam india facto nation system fall disus perpetu viabl system current jeopardis identifi number reason trend exampl lack institut support benefit modern system udc offer number specif suggest preserv revitalis system
76,148-753-200-673-175,Train Case,"The arts, humanities, and social sciences commonly borrow concepts and methods from the sciences, but interdisciplinary borrowing seldom occurs in the opposite direction. Research on narrative discourse is relevant to problems of documentary storage and retrieval, for the arts and humanities in particular, but also for other broad areas of knowledge. This paper views the potential application of narrative discourse analysis to information storage and retrieval problems from two perspectives: 1) analysis and comparison of narrative documents in all disciplines may be simplified if fundamental categories that occur in narrative documents can be isolated; and 2) the possibility of subdividing the world of knowledge initially into narrative and non-narrative documents is explored with particular attention to Werlich's work on text types",art human social commonli borrow concept method interdisciplinari borrow seldom occur opposit direct research narr discours relev problem documentari storag retriev art human particular broad area view potenti applic narr discours analysi storag retriev problem perspect analysi comparison narr document disciplin simplifi fundament categori occur narr document isol possibl subdivid world initi narr narr document explor particular attent werlich text type
77,160-606-850-771-257,Train Case,"The pervasiveness of classification in all human activities is described. Classification is characterized as being relative, utilitarian, and artificial. The importance of classification in library settings and academic disciplines is documented. Classification is described as an emerging, independent discipline.",pervas human activ describ character rel utilitarian artifici import set academ disciplin document describ emerg independ disciplin
78,164-013-219-239-121,Train Case,"Many classifications of standards exist. These are often inconsistent, which may lead to confusion in standardization practice. This article includes an inventory of current classifications and a discussion of their applicability. Based on the new insights, gained from this examination, other possible classifications of standards are suggested. These classifications may be related to the entities the standards refer to or to the users of the standards.",mani standard exist often inconsist lead confus standard practic articl inventori current discuss applic new insight gain examin possibl standard suggest relat entiti standard refer standard
79,167-707-200-597-186,Train Case,"Online textbooks can be connected to other sources of information to improve their educational value. We describe two case studies. One used a medical textbook and connected to medical journal abstracts via a thesaurus. The textbook, journal abstracts, and thesaurus were stored on a CD-ROM. The other case study shows a textbook on the World Wide Web that is connected to various other sources of information. About half the book references are to web sites, and the textbook is part of an online course that is connected to an online catalog and other courses. Such linkages among information spaces should help students navigate the information relevant to their studies",onlin textbook connect sourc improv educ valu describ case use medic textbook connect medic journal abstract via thesauru textbook journal abstract thesauru store case show textbook world wide web connect variou sourc half book refer web site textbook onlin cours connect onlin catalog cours linkag among space help student navig relev
80,169-888-128-565-929,Train Case,"Interrelations of knowledge and ignorance are considered in connection with problems of classification, increase of parascientific investigations and incomplete world pictures. The tension between knowledge and ignorance can never be overcome, because knowledge is secondary, relative, particular and finite, while ignorance is primary, whole, absolute, and infinite",interrel ignor consid connect problem increas parascientif investig incomplet world pictur tension ignor never overcom secondari rel particular finit ignor primari whole absolut infinit
81,170-177-625-955-412,Train Case,TOSCANA is a computer program which allows an online interaction with larger data bases to analyse and explore data conceptually. It uses labelled line diagrams of concept lattices to communicate knowledge coded in given data. The basic problem to create online presentations of concept lattices is solved by composing prepared diagrams to nested line diagrams. A larger number of applications in different areas have already shown that TOSCANA is a useful tool for many purposes. (Authors),toscana comput program allow onlin interact larger data analys explor data conceptu use label line diagram concept lattic commun code given data basic problem creat onlin concept lattic solv compos prepar diagram line diagram larger number applic area alreadi shown toscana use tool mani purpos
82,179-665-467-280-842,Train Case,"Discusses the need for facilities for online vocabulary control and standardization of terms, codes, etc., so as to secure consistency in naming of subjects, objects, countries, languages, etc., in databases at data entry stage. Most information storage and retrieval packages for microcomputers including MicroIsis provide for online vocabulary control in formulating search expressions for information retrieval, but not ata the data entry stage. VOCON.PAS is a Pascal interface program for use with MicroIsis software for (a) online selection of term(s) and/or code(s) from vocabulary control tool, such as, a thesaurus, subject heading list, classification scheme, nomenclature list(s)",discuss facil onlin vocabulari control standard code secur consist name object countri languag databas data entri stage storag retriev packag microcomput microisi onlin vocabulari control formul search express retriev data entri stage vocon pa pascal interfac program use microisi softwar onlin select code vocabulari control tool thesauru head list scheme nomenclatur list
83,180-658-270-170-05X,Train Case,"Ramon Llull (1232-1316) wrote many didactic and theoretical works that demonstrate an exhaustive and creative approach to the organization of knowledge. His encyclopedic Arbre de sciencia (1296) was a multi-volume summation of human knowledge, organized according to a plan that could be applied to other works. Set against a background of Llull's other tree-based works, including the Libre del gentile dels tres savis (1274-89), and the Arbre de filosofia desiderat (1294), the Arbre de sciencia is described and analyzed as a faceted classification system.",ramon llull 1232 1316 wrote mani didact theoret demonstr exhaust creativ encycloped arbr sciencia 1296 multi volum summat human accord plan could appli background llull tree libr gentil del tre savi 1274 89 arbr filosofia desiderat 1294 arbr sciencia describ analyz facet system
84,185-059-218-401-751,Train Case,"The paper presents a coword-analysis-based system called SDOC which is able to support the intellectual work of an end-user who is searching for information in a bibliographic database. This is done by presenting its thematical structure as a map of keyword clusters (themes) on a graphical user interface. These mapping facilities are demonstrated on the basis of the research field Social History given by a set of documents from the social science literature database SOLIS. Besides the traditional way of analysing a coword map as a strategic diagram, the notion of cluster relationships analysis is introduced which provides an adequate interpretation of links between themes.",coword analysi system call abl support intellectu search bibliograph databas done themat structur map keyword cluster theme graphic interfac map facil demonstr basi research social histori given document social literatur databas besid tradit analys coword map strateg diagram notion cluster relationship analysi introduc adequ interpret link theme
85,185-129-272-793-400,Train Case,"Reports on investigations conducted at the Institute for Scientific, Technical and Economic Information (ISTEI) in Warsaw (Poland) in 1992-1993. These investigations aimed at a comparative analysis of four indexing languages (ILs) developed and/or used in Poland and at the establishment of concordances between them. These were the following ILs: Polish Thematic Classification (PTC) descriptor language based on the Thesaurus of Common Topics (TCT), Universal Decimal Classification (UDC), Subject-Heading Language of the National Library in Warsaw (SHL). When establishing concordances the PTC was chosen as the master language whereas the three other ILs served as target languages",report investig conduct institut scientif technic econom warsaw poland 1992 1993 investig aim compar analysi languag use poland establish concord follow polish themat ptc descriptor languag thesauru common topic univers decim udc head languag nation warsaw establish concord ptc chosen master languag wherea serv target languag
86,191-348-260-799-474,Train Case,"In both Onomantics and Terminology there are about a half-dozen core concept which overlap but do not coincide with each other. They include what is called representation, description, cue, tag and notation in Onomantics and, in Terminology, definition, designation, term, symbol and name. A lexicographer writing a synonymy for such words might compare their meanings to show how they resemble or differ from each other, using a Semantic (words-to-meanings) point of view. To compare concepts (not words) in an Onomantic (Ana-Semantic, or concept-to-tag) context, one needs to compare the descriptions (definitions) of each concept to see whether they, indeed, have the same or different essential characteristics. One also needs to compare the notations that situate each concept in a system - even if the definitions of two concepts are almost the same, one might discover that because two concepts are positioned differently in their respective classification schemes, they are conceptualized differently. Finally, the concept tags (terms) used to represent each concept can also be compared semantically, i.e. to see whether their connotations and additional meanings support or hamper the unambiguous recognition of each intended concept. After an introductory display of the two sets of concepts, each of those used in Terminology is compared systematically, using all three sets of comparisons, with the nearest equivalent concepts used in Onomantics",onomant terminolog half dozen core concept overlap coincid call represent descript cue tag notat onomant terminolog definit design symbol name lexicograph write synonymi word might compar mean show resembl use semant word mean view compar concept word onomant semant concept tag context compar descript definit concept see whether inde essenti characterist compar notat situat concept system even definit concept almost might discov concept posit respect scheme conceptu final concept tag use repres concept compar semant see whether connot addit mean support hamper unambigu recognit intend concept introductori display set concept use terminolog compar systemat use set comparison nearest equival concept use onomant
87,191-464-698-912-126,Train Case,"The paper is divided into three parts. The first develops a framework for evaluating the indexing needs of the humanities with reference to four sets of contrasts: user (need)-oriented vs. document-oriented indexing; subject indexing vs. attribute indexing, scientific writing vs. humanistic writing; and topical relevance vs. logical relevance vs. evidential relevance vs. aesthetic relevance. The indexing needs of the humanities range broadly across these contrasts. The second part establishes the centrality of relationships to the communication of indexable matter and examines the advantages and disadvantages of means used for their expression in both natural languages and index languages. The use of a relational structure, such as a frame, is shown to represent perhaps the best available option. The last part illustrates where the use of relational structures in humanities indexing would help meet some of the needs previously identified. Although not a panacea, the adoption of frame-based indexing in the humanities might substantially improve the retrieval of its literature",divid first framework evalu human refer set contrast orient document orient attribut scientif write humanist write topic relev logic relev evidenti relev aesthet relev human rang broadli across contrast second establish central relationship commun matter examin advantag disadvantag mean use express natur languag languag use relat structur frame shown repres perhap best avail option last illustr use relat structur human help meet previous identifi although panacea adopt frame human might substanti improv retriev literatur
88,194-556-078-156-224,Test Case,"Different approaches to the classification of a knowledge field include empiristic, rationalistic, historicist, and pragmatic methods. This paper demonstrates how these different methods have been applied to the classification of psychology. An etymological approach is insufficient to define the subject matter of psychology, because other terms can be used to describe the same domain. To define the subject matter of psychology from the point of view of its formal establishment as a science and academic discipline (in Leipzig, 1879) is also insufficient because this was done in specific historical circumstances, which narrowed the subject matter to physiologically-related issues. When defining the subject area of a scientific field it is necessary to consider how different ontological and epistemological views have made their influences. A subject area and the approaches by which this subject area has been studied cannot be separated from each other without tracing their mutual historical interactions. The classification of a subject field is theory-laden and thus cannot be neutral or ahistorical. If classification research can claim to have a method that is more general than the study of the concrete developments in the single knowledge fields the key is to be found in the general epistemological theories. It is shown how basic epistemological assumptions have formed the different approaches to psychology during the 20th century. The progress in the understanding of basic philosophical questions is decisive both for the development of a knowledge field and as the point of departure of classification. The theoretical principles developed in this paper are applied in a brief analysis of some concrete classification systems, including the one used by PsycINFO / Psychological Abstracts. The role of classification in modern information retrieval is also briefly discussed.",empirist rationalist historicist pragmat method demonstr method appli psycholog etymolog insuffici defin matter psycholog use describ domain defin matter psycholog view formal establish academ disciplin leipzig 1879 insuffici done specif histor circumst narrow matter physiolog relat issu defin area scientif necessari consid ontolog epistemolog view made influenc area area cannot separ without trace mutual histor interact theori laden cannot neutral ahistor research claim method gener concret singl key found gener epistemolog theori shown basic epistemolog assumpt form psycholog centuri progress understand basic philosoph question decis departur theoret principl appli brief analysi concret system use psycinfo psycholog abstract role modern retriev briefli discuss
89,001-281-947-751-975,Train Case,"Gives an account of the editing of Universal Decimal Classification (UDC) from the full database to produce a brief, simplified version. Describes the selection criteria, difficulties in maintaining consistency and insights gained into optimizing future maintenance of the scheme.",give account edit univers decim udc full databas produc brief simplifi version describ select criteria difficulti maintain consist insight gain optim futur mainten scheme
90,006-687-633-497-865,Train Case,"The Iter Project (iter means path or journey in Latin) is an internationally supported non-profit research project created with the objective of providing electronic access to all kinds and formats of materials that relate to the Middle Ages and Renaissance (400-1700) and that were published between 1700 and the present. Knowledge representation and organization decisions for the Project were influenced by its potential international clientele of scholarly users, and these decisions illustrate the importance and efficacy of collaboration between specialized users and information professionals. The paper outlines the scholarly principles and information goals of the Project and describes in detail the methodology developed to provide reliable and consistent knowledge representation and organization for one component of the Project, the Iter Bibliography. Examples of fully catalogued records for the Iter Bibliography are included.",iter project iter mean path journey latin intern support profit research project creat object electron access kind format materi relat middl age renaiss 400 1700 publish 1700 represent decis project influenc potenti intern clientel scholarli decis illustr import efficaci collabor special profession outlin scholarli principl goal project describ detail methodolog reliabl consist represent compon project iter bibliographi exampl fulli catalogu record iter bibliographi
91,008-962-886-761-456,Train Case,"Following the modelling of the activity related to the completion of a pharmacy thesis, as presented in part I, we have completed the activity analysis by drawing up a structured word list to show the terminological organization around the ten operational phases. Indeed, it seemed obvious to us that the reasoning at the root of any activity is based on words used to describe it. This terminology inventory which we called Structured Terminology Environment (STE), together with the modelling diagram, could eventually be directly used during the conceiving of a software tool specific to the studied professional activity. The STE is a thesaurus of 565 words selected on the basis of a corpus stemming from five pharmacy theses and six books, where we put the significant terms which represent the actors and actions we observed during the ten phases, as well as the handled tools. Once the terms were shared out among the ten basic operations, we structured the terminology by grouping the concepts of a same nature so that the sub-categories show a certain homogeneity around the action. We used the following basic relationships: generic/specific relationships, whole/part relationships and finally, we completed the categorization with the help of classes induced by facets (process, phenomenon, properties, material or object, tool or equipment and operating conditions).",follow model activ relat complet pharmaci thesi complet activ analysi draw structur word list show terminolog around oper phase inde seem obviou reason root activ word use describ terminolog inventori call structur terminolog environ togeth model diagram could eventu directli use conceiv softwar tool specif profession activ thesauru 565 word select basi corpu stem five pharmaci these book signific repres actor action observ phase handl tool share among basic oper structur terminolog group concept natur categori show certain homogen around action use follow basic relationship gener specif relationship whole relationship final complet categor help class induc facet process phenomenon properti materi object tool equip oper condit
92,009-175-881-547-438,Train Case,"The notion of category, from Aristotle and Kant to the present time, has been used as a basic intellectual tool for the analysis of the existence and changeableness of things. Ranganathan was the first to extrapolate the concept into the Theory of Classification, placing it as an essential axis for the logical organization of knowledge and the construction of indexing languages. This paper proposes a conceptual and methodological reexamination of the notion of category from a functional and instrumental perspective, and tries to clarify the essential characters of categories in that context, and their present implications regarding the construction and evaluation of indexing languages.",notion categori aristotl kant time use basic intellectu tool analysi exist changeabl thing ranganathan first extrapol concept theori place essenti logic construct languag propos conceptu methodolog reexamin notion categori function instrument perspect tri clarifi essenti charact categori context implic regard construct evalu languag
93,013-353-791-759-027,Train Case,"Answering open-domain factual questions requires Natural Language processing for refining document selection and answer identification. With our system QALC (Question Answering system of the Language and Cognition Group), we have participated in the Question Answering track of the TREC8, TREC9 and TREC10 (Text REtrieval Conferences) evaluations. QALC performs an analysis of documents relying on multi-word term searches and their linguistic variation both to minimize the number of documents selected and to provide additional clues when comparing question and sentence representations. This comparison process also makes use of the results of a syntactic parsing of the questions and Named Entity recognition functionalities. Answer extraction relies on the application of syntactic patterns chosen according to the kind of information that is sought, and categorized depending on the syntactic form of the question. These patterns allow QALC to handle nicely linguistic variations at the answer level.",answer open domain factual question requir natur languag process refin document select answer identif system qalc question answer system languag cognit group particip question answer track trec8 trec9 trec10 text retriev confer evalu qalc perform analysi document reli multi word search linguist variat minim number document select addit clue compar question sentenc represent comparison process make use result syntact pars question name entiti recognit function answer extract reli applic syntact pattern chosen accord kind sought categor depend syntact form question pattern allow qalc handl nice linguist variat answer level
94,013-636-309-273-433,Train Case,"The work we are presenting is devoted to the information collected on the WWW. By the term collected we mean the whole process of retrieving, extracting and presenting results to the user. This research is part of the RAP (Research, Analyze, Propose) project in which we propose to combine two methods: (i) query formulation using linguistic markers according to a given point of view; and (ii) text semantic analysis by means of contextual exploration results (Descles, 1991). The general project architecture describing the interactions between the users, the RAP system and the WWW search engine is presented in Nait-Baha et al. (1998). We will focus this paper on showing how we use linguistic markers to reformulate the queries according to a given point of view.",devot collect collect mean whole process retriev extract result research rap research analyz propos project propos combin method queri formul use linguist marker accord given view text semant analysi mean contextu explor result descl 1991 gener project architectur describ interact rap system search engin nait baha 1998 focu show use linguist marker reformul queri accord given view
95,014-482-297-957-834,Train Case,"Organizing and providing access to the resources on the Internet has been a problem area in spite of the availability of sophisticated search engines and other software tools. There have been several attempts to organize the resources on the World Wide Web. Some of them have tried to use traditional library classification schemes such as the Library of Congress Classification, the Dewey Decimal Classification and others. However there is a need to assign proper subject headings to them and present them in a logical or hierarchical sequence to cater to the need for browsing. This paper attempts to describe an experimental system designed to organize and provide access to web documents using a faceted pre-coordinate indexing system based on the Deep Structure Indexing System (DSIS) derived from POPSI (Postulate based Permuted Subject Indexing) of Bhattacharyya, and the facet analysis and chain indexing system of Ranganathan. A prototype software system has been designed to create a database of records specifying Web documents according to the Dublin Core and to input a faceted subject heading according to DSIS. Synonymous terms are added to the standard terms in the heading using appropriate symbols. Once the data are entered along with a description and the URL of the web document, the record is stored in the system. More than one faceted subject heading can be assigned to a record depending on the content of the original document. The system stores the surrogates and keeps the faceted subject headings separately after establishing a link. The search is carried out on index entries derived from the faceted subject heading using the chain indexing technique. If a single term is input, the system searches for its presence in the faceted subject headings and displays the subject headings in a sorted sequence reflecting an organizing sequence. If the number of retrieved headings is too large (running into more than a page) the user has the option of entering another search term to be searched in combination. The system searches subject headings already retrieved and looks for those containing the second term. The retrieved faceted subject headings can be displayed and browsed. When the relevant subject heading is selected the system displays the records with their URLs. Using the URL, the original document on the web can be accessed. The prototype system developed in a Windows NT environment using ASP and a web server is under rigorous testing. The database and index management routines need further development.",access resourc internet problem area spite avail sophist search engin softwar tool sever attempt resourc world wide web tri use tradit scheme congress dewey decim other howev assign proper head logic hierarch sequenc cater brows attempt describ experiment system design access web document use facet coordin system deep structur system deriv popsi postul permut bhattacharyya facet analysi chain system ranganathan prototyp softwar system design creat databas record specifi web document accord dublin core input facet head accord synonym ad standard head use appropri symbol data enter along descript url web document record store system facet head assign record depend content origin document system store surrog facet head separ establish link search carri entri deriv facet head use chain techniqu singl input system search presenc facet head display head sort sequenc reflect sequenc number retriev head larg run page option enter anoth search search combin system search head alreadi retriev look contain second retriev facet head display brows relev head select system display record url use url origin document web access prototyp system window environ use web server rigor test databas manag routin
96,016-646-164-523-566,Test Case,Defines the concept of knowledge representation. Explains the major AI (Artificial Intelligence)-based knowledge representation techniques developed so far. Critically examines the strengths and weaknesses of such AI techniques. Argues that the analytico-synthetic approach advocated by Ranganathan is really a powerful knowledge representation technique containing in itself the epistemological foundations required for real progress in the field.,defin concept represent explain major ai artifici intellig represent techniqu far critic examin strength weak ai techniqu argu analytico synthet advoc ranganathan realli power represent techniqu contain epistemolog foundat requir progress
97,018-426-685-841-728,Train Case,"Classification is a transdisciplinary activity that occurs during all human pursuits. Classificatory activity, however, serves different purposes in different situations. In information retrieval, the primary purpose of classification is to find knowledge that already exists, but one of the purposes of classification in other fields is to discover new knowledge. In this paper, classifications for information retrieval are called professional classifications because they are devised by people who have a professional interest in classification, and classifications for knowledge discovery are called naive classifications because they are devised by people who have no particular interest in studying classification as an end in itself. This paper compares the overall purposes and methods of these two kinds of classifications and provides a general model of the relationships between the two kinds of classificatory activity in the context of information studies. This model addresses issues of the influence of scholarly activity and communication on the creation and revision of classifications for the purposes of information retrieval and for the purposes of knowledge discovery. Further comparisons elucidate the relationships between the universality of classificatory methods and the specific purposes served by naive and professional classification systems.",transdisciplinari activ occur human pursuit classificatori activ howev serv purpos situat retriev primari purpos find alreadi exist purpos discov new retriev call profession devis peopl profession interest discoveri call naiv devis peopl particular interest compar overal purpos method kind gener model relationship kind classificatori activ context model address issu influenc scholarli activ commun creation revis purpos retriev purpos discoveri comparison elucid relationship univers classificatori method specif purpos serv naiv profession system
98,019-340-375-042-065,Test Case,"This paper describes a survey of subject analysis research over the ten year period 1988 to 1998. Data are drawn from the research environment encompassing publications, conference papers, major bibiographic resources in the field of Library and Information Science and selective searches of the Internet. Findings reveal major and minor areas of research activity Trends and developments are identified and conclusions drawn. Strengths and weaknesses in the approaches taken to subject analysis research are discussed and suggestions for improvements are made with a view to future research directions.",describ survey analysi research year period 1988 1998 data drawn research environ encompass public confer major bibiograph resourc select search internet find reveal major minor area research activ trend identifi conclus drawn strength weak taken analysi research discuss suggest improv made view futur research direct
99,031-740-156-435-499,Train Case,"This article sets out to investigate genre as a basic criterion in subject indexing of music in libraries and bibliographical databases. The concept of genre is examined in relation to epistemology and to different values and views in both musicology and libraries. The point of departure is to regard music as a domain of actors, institutions and processes. A comprehensive definition of this domain is suggested, which includes several subdomains and discourses. The classical music subdomain and the popular music subdomain are introduced and related to libraries. The article further investigates the concept of paradigm in relation to musicology. It demonstrates how two different paradigms influence the way music is defined, described, classified and indexed and how they are part of a historical context. The fourth part of the article focuses on the concept of genre and the analysis of music and the relation between analytical methods and values/paradigms. In addition, this part focuses on the actors that are responsible for the verbalization of genres in music. The fifth part examines indexing of musical genres with a view to their function as subject access points in databases. The unsatisfactory state of today's practice, as well as the need of a better theoretical foundation of the concept of genre, is documented. The unsatisfactory differentiation in the organising of popular music is exemplified by Danish and Norwegian libraries, including the DK5 system and the Indeksering afmusik guidelines. Finally, arguments are put forward for developing an anthropological paradigm in relation to organizing music in libraries.",articl set investig genr basic criterion music bibliograph databas concept genr examin relat epistemolog valu view musicolog departur regard music domain actor institut process comprehens definit domain suggest sever subdomain discours classic music subdomain popular music subdomain introduc relat articl investig concept paradigm relat musicolog demonstr paradigm influenc music defin describ classifi histor context fourth articl focus concept genr analysi music relat analyt method valu paradigm addit focus actor respons verbal genr music fifth examin music genr view function access databas unsatisfactori state practic better theoret foundat concept genr document unsatisfactori differenti organis popular music exemplifi danish norwegian system indeks afmusik guidelin final argument forward anthropolog paradigm relat music
100,042-401-029-005-536,Train Case,"This study makes recommendations to adapt and expand the class Religion (200) of the Dewey Decimal Classification (DDC) for libraries in nations, particularly Korea, where religious diversity predominates. It contracts the classes on Christianity, 220-280, into one class, 220, and allows for local Korean emphasis so that religions of Asian, and especially East Asian, origin are given preferred treatment. It relocates Buddhism and other religions of Asian origin into separate divisions, 230 and 240, respectively. The recommendations maintain the basic system and order of DDC. Whenever possible, they adhere to the Korean Decimal Classification in the arrangement of religions of Asian origin. Because the options for religions other than Christianity in DDC are to give preferred treatment to a specific religion, this article tries to generalize the idea to suggest an option in DDC as Option F for > 292-299 Religions other than Christianity, for other nations in the world having similar situations. It says: Contract the Bible and Christianity in 220-280 into 220, and then class other religions to give preferred treatment in 230-280, respectively, following the order in DDC. In that case, the number 2 should be inserted in the second digit of the Bible and Christianity, eg, the Bible 222, Jesus Christ & his family 223.2, and Puritanism 228.59.",make recommend adapt expand class religion dewey decim nation particularli korea religi divers predomin contract class christian class allow local korean emphasi religion asian especi east asian origin given prefer treatment reloc buddhism religion asian origin separ divis respect recommend maintain basic system order whenev possibl adher korean decim arrang religion asian origin option religion christian give prefer treatment specif religion articl tri gener idea suggest option option religion christian nation world similar situat say contract bibl christian class religion give prefer treatment respect follow order case number insert second digit bibl christian bibl jesu christ famili puritan 228
101,042-553-754-884-249,Train Case,"This paper describes the Postulations Based Approach to Facet Classification as articulated by S. R. Ranganathan for knowledge classification and for the design of a facet scheme of library classification, and the Entity-Relationship Data Modelling and Analysis Approach set by Peter Pin-Sen Chen; both further modified by other experts. Efforts have been made to show the parallelism between the two approaches. It points out that, both the theoretical approaches are concerned with the organisation of knowledge or information, and apply almost similar theoretical principles, concepts, and techniques for the design and development of a framework for the organisation of knowledge, information, or data, in their respective domains. It states that both the approaches are complementary and supplementary to each other. The paper also argues that Ranganathan's postulations based approach or analytico-synthetic approach to knowledge classification can be applied for developing efficient data retrieval systems in addition to the data analysis and modelling domain.",describ postul facet articul ranganathan design facet scheme entiti relationship data model analysi peter chen modifi expert effort made show parallel theoret concern organis appli almost similar theoret principl concept techniqu design framework organis data respect domain state complementari supplementari argu ranganathan postul analytico synthet appli effici data retriev system addit data analysi model domain
